DATE,RKNANPCNA666NRUG
1952-01-01,391298.46875
1953-01-01,420299.21875
1954-01-01,452992.875
1955-01-01,481566.9375
1956-01-01,515698.8125
1957-01-01,552719.375
1958-01-01,619747.1875
1959-01-01,719133.8125
1960-01-01,799645.625
1961-01-01,809718.125
1962-01-01,800808.3125
1963-01-01,810641.9375
1964-01-01,838339.375
1965-01-01,886865.125
1966-01-01,953755.125
1967-01-01,988320.5625
1968-01-01,1021258.3125
1969-01-01,1064488.0
1970-01-01,1155455.875
1971-01-01,1255206.5
1972-01-01,1352464.25
1973-01-01,1455277.75
1974-01-01,1574018.375
1975-01-01,1718109.375
1976-01-01,1848966.125
1977-01-01,1981554.875
1978-01-01,2145749.5
1979-01-01,2309318.75
1980-01-01,2499968.0
1981-01-01,2676162.25
1982-01-01,2875816.5
1983-01-01,3097478.0
1984-01-01,3355170.5
1985-01-01,3670998.75
1986-01-01,4007927.5
1987-01-01,4364039.0
1988-01-01,4773436.0
1989-01-01,5062329.0
1990-01-01,5316133.5
1991-01-01,5635940.5
1992-01-01,6115865.0
1993-01-01,6811388.5
1994-01-01,7589382.0
1995-01-01,8430762.0
1996-01-01,9351290.0
1997-01-01,10317089.0
1998-01-01,11445109.0
1999-01-01,12598099.0
2000-01-01,13807774.0
2001-01-01,15183588.0
2002-01-01,16754779.0
2003-01-01,18678236.0
2004-01-01,20848848.0
2005-01-01,23268102.0
2006-01-01,25976578.0
2007-01-01,28985030.0
2008-01-01,32322166.0
2009-01-01,36652620.0
2010-01-01,41481220.0
2011-01-01,46622836.0
2012-01-01,52143048.0
2013-01-01,58108720.0
2014-01-01,64360792.0
2015-01-01,71041904.0
2016-01-01,78144448.0
2017-01-01,85568768.0
2018-01-01,93488032.0
2019-01-01,101703024.0
