date;FIN;NOR;ITA
Q1 1959;1977;;
Q2 1959;2046,7;;
Q3 1959;2091,3;;
Q4 1959;2025;;
Q1 1960;2029;;
Q2 1960;2104;;
Q3 1960;2169;;
Q4 1960;2086,7;;
Q1 1961;2061;;
Q2 1961;2124,3;;
Q3 1961;2192,3;;
Q4 1961;2107,3;;
Q1 1962;2070,3;;
Q2 1962;2144;;
Q3 1962;2205;;
Q4 1962;2111,7;;
Q1 1963;2067,3;;
Q2 1963;2139;;
Q3 1963;2198,3;;
Q4 1963;2099;;
Q1 1964;2082,3;;
Q2 1964;2168;;
Q3 1964;2228,7;;
Q4 1964;2130,3;;
Q1 1965;2086;;
Q2 1965;2171,3;;
Q3 1965;2237,7;;
Q4 1965;2126;;
Q1 1966;2084,7;;
Q2 1966;2174,7;;
Q3 1966;2240;;
Q4 1966;2135;;
Q1 1967;2059;;
Q2 1967;2141;;
Q3 1967;2190;;
Q4 1967;2064;;
Q1 1968;2002;;
Q2 1968;2084,7;;
Q3 1968;2155,3;;
Q4 1968;2051;;
Q1 1969;2008,7;;
Q2 1969;2098,3;;
Q3 1969;2190;;
Q4 1969;2091,7;;
Q1 1970;2046;;
Q2 1970;2138,7;;
Q3 1970;2216,3;;
Q4 1970;2101,7;;
Q1 1971;2033,3;;
Q2 1971;2145,3;;
Q3 1971;2209,7;;
Q4 1971;2104;;
Q1 1972;2028,7;1659;
Q2 1972;2144,7;1676;
Q3 1972;2195,3;1678;
Q4 1972;2103,3;1658;
Q1 1973;2050;1659;
Q2 1973;2168;1671;
Q3 1973;2260,7;1667;
Q4 1973;2176,3;1674;
Q1 1974;2138,3;1659;
Q2 1974;2250,3;1663;
Q3 1974;2319;1672;
Q4 1974;2207;1697;
Q1 1975;2149,7;1678;
Q2 1975;2250;1726;
Q3 1975;2295,3;1713;
Q4 1975;2189;1713;
Q1 1976;2216,3;1764;
Q2 1976;2297,3;1806;
Q3 1976;2373,3;1803;
Q4 1976;2226,3;1837;
Q1 1977;2173,3;1816;19437,556
Q2 1977;2253,3;1849;19483,731
Q3 1977;2320,3;1856;19605,952
Q4 1977;2180,3;1831;19516,19
Q1 1978;2117;1852;19472,581
Q2 1978;2226,7;1891;19458,579
Q3 1978;2287,3;1846;19900,754
Q4 1978;2167,7;1882;19771,281
Q1 1979;2146,3;1858;19611,571
Q2 1979;2277,3;1881;19572,735
Q3 1979;2352;1894;20076,583
Q4 1979;2247;1909;20026,784
Q1 1980;2226;1885;19887,285
Q2 1980;2355;1918;19924,716
Q3 1980;2423;1901;20481,554
Q4 1980;2308;1927;20394,533
Q1 1981;2271;1939;20185,508
Q2 1981;2375,3;1931;20088,162
Q3 1981;2446;1934;20422,403
Q4 1981;2321;1936;20351,29
Q1 1982;2295,3;1940;20091,665
Q2 1982;2396,3;1964;20113,091
Q3 1982;2464;1929;20444,062
Q4 1982;2350,7;1940;20338,401
Q1 1983;2312;1927;20138,964
Q2 1983;2415,7;1958;20233,482
Q3 1983;2466,7;1931;20592,013
Q4 1983;2364,3;1965;20438,052
Q1 1984;2340,3;1976;20311,154
Q2 1984;2454,7;1978;20245,332
Q3 1984;2487,7;1945;20718,448
Q4 1984;2371,3;1980;20657,647
Q1 1985;2359,3;1991;20358,734
Q2 1985;2483;2007;20472,963
Q3 1985;2502,3;2009;20833,335
Q4 1985;2403,7;2049;20724,983
Q1 1986;2357;2068;20560,532
Q2 1986;2467;2098;20524,414
Q3 1986;2503;2072;20881,217
Q4 1986;2395;2106;20862,715
Q1 1987;2353;2113;20720,297
Q2 1987;2457,3;2140;20665,618
Q3 1987;2501,7;2117;21058,369
Q4 1987;2381,7;2133;20920,1
Q1 1988;2394,7;2126;20776,928
Q2 1988;2499,7;2127;20884,735
Q3 1988;2537;2124;21268,191
Q4 1988;2437,3;2080;21076,224
Q1 1989;2432,3;2051;21030,559
Q2 1989;2563;2068;21060,943
Q3 1989;2559,3;2054;21375,301
Q4 1989;2474;2022;21401,632
Q1 1990;2457,7;2008;21313,969
Q2 1990;2559,7;2039;21429,736
Q3 1990;2557,3;2050;21746,89
Q4 1990;2443,7;2023;21620,747
Q1 1991;2382,3;1986;21454,233
Q2 1991;2440;1997;21588,607
Q3 1991;2407;2046;21864,694
Q4 1991;2270,7;2009;21753,886
Q1 1992;2203,3;1980;21413,324
Q2 1992;2262,3;1996;21668,08
Q3 1992;2240,7;2035;21722,106
Q4 1992;2118,7;2005;21689,91
Q1 1993;2048,3;1970;21287,505
Q2 1993;2105,3;1998;21296,97
Q3 1993;2110,3;2033;21442,086
Q4 1993;2021;2016;21199,815
Q1 1994;1981,3;1991;20772,739
Q2 1994;2079;2022;20961,58
Q3 1994;2109,3;2074;21124,417
Q4 1994;2048,3;2052;20799,059
Q1 1995;2023,3;2040;20522,766
Q2 1995;2136;2066;20733,394
Q3 1995;2155,7;2113;20963,138
Q4 1995;2080;2097;20825,095
Q1 1996;2057;2089;20557,824
Q2 1996;2159;2130;20804,547
Q3 1996;2178;2159;21033,482
Q4 1996;2114,7;2148;20879,526
Q1 1997;2083,3;2152;20603,667
Q2 1997;2208;2196;20838,201
Q3 1997;2222,7;2222;21079,671
Q4 1997;2164;2209;20908,75
Q1 1998;2137,3;2219;20760,877
Q2 1998;2253,3;2258;20983,909
Q3 1998;2283,7;2268;21259,731
Q4 1998;2214,7;2249;21187,119
Q1 1999;2212,3;2241;20989,212
Q2 1999;2332,7;2269;21224,344
Q3 1999;2360,3;2271;21480,903
Q4 1999;2278;2256;21407,508
Q1 2000;2241,3;2246;21161,781
Q2 2000;2367,7;2286;21460,926
Q3 2000;2409;2283;21825,248
Q4 2000;2324;2262;21930,138
Q1 2001;2293,7;2262;21758,566
Q2 2001;2403,3;2289;21849,724
Q3 2001;2420,3;2285;22148,579
Q4 2001;2351,3;2275;22102,88
Q1 2002;2312,7;2276;22061,15
Q2 2002;2406,3;2303;22148,311
Q3 2002;2426,7;2298;22372,523
Q4 2002;2343,3;2267;22336,092
Q1 2003;2318,7;2261;21903,57
Q2 2003;2400,7;2275;22240,656
Q3 2003;2416;2278;22348,478
Q4 2003;2324;2260;22484,203
Q1 2004;2301;2255;22056,425
Q2 2004;2384;2283;22411,172
Q3 2004;2425;2290;22477,512
Q4 2004;2349;2274;22505,634
Q1 2005;2337,3;2267;22250,655
Q2 2005;2424,7;2286;22499,547
Q3 2005;2443,7;2304;22374,659
Q4 2005;2397,7;2298;22503,151
Q1 2006;2381;2326;22540,061
Q2 2006;2460,7;2354;22953,726
Q3 2006;2494,7;2381;22763,8
Q4 2006;2438;2389;22772,757
Q1 2007;2415,3;2397;22523,417
Q2 2007;2524,7;2434;22961,601
Q3 2007;2541,7;2459;23069,963
Q4 2007;2485,7;2484;23022,683
Q1 2008;2473,3;2497;22866,296
Q2 2008;2574,3;2532;23270,685
Q3 2008;2566,3;2542;23203,867
Q4 2008;2509,3;2525;23020,544
Q1 2009;2447,7;2506;22653,058
Q2 2009;2497,3;2525;22887,163
Q3 2009;2476,7;2504;22678,12
Q4 2009;2407,3;2497;22576,533
Q1 2010;2388,3;2486;22420,668
Q2 2010;2485,3;2516;22656,623
Q3 2010;2490,3;2515;22450,088
Q4 2010;2425,7;2517;22580,031
Q1 2011;2407,7;2511;22536,483
Q2 2011;2517;2538;22712,931
Q3 2011;2513,3;2561;22572,234
Q4 2011;2456,3;2562;22571,328
Q1 2012;2432,3;2570;22424,199
Q2 2012;2524,3;2604;22701,998
Q3 2012;2528,7;2602;22617,04
Q4 2012;2447,7;2589;22520,645
Q1 2013;2408,3;2583;22124,513
Q2 2013;2506;2611;22218,339
Q3 2013;2490,3;2626;22200,528
Q4 2013;2422;2619;22218,761
Q1 2014;2394;2606;22025,679
Q2 2014;2489,7;2648;22316,76
Q3 2014;2487,3;2646;22398,298
Q4 2014;2418;2650;22374,931
Q1 2015;2391;2628;22158,446
Q2 2015;2462,7;2663;22496,794
Q3 2015;2481,3;2666;22645,066
Q4 2015;2412,3;2647;22558,707
Q1 2016;2395,7;2642;22400,796
Q2 2016;2476,7;2647;22935,658
Q3 2016;2493;2666;22883,918
Q4 2016;2426,7;2635;22810,978
Q1 2017;2406,7;2628;22726,499
Q2 2017;2493,7;2658;23089,007
Q3 2017;2506,3;2666;23186,733
Q4 2017;2485,7;2655;23089,596
Q1 2018;2469;;22873,598
Q2 2018;2572,7;;23475,966
Q3 2018;2576,7;;23333,913
Q4 2018;2540,7;;23176,317
Q1 2019;2513,3;;23017,414
Q2 2019;2593,3;;23553,667
Q3 2019;2599,7;;23485,104
Q4 2019;2556,7;;23383,281
Q1 2020;2512,3;;23069,754
Q2 2020;2513,7;;22712,757
Q3 2020;2549,7;;22863,395
Q4 2020;2522;;22969,142
