"q","r","FPE","AIC","AICC","SIC","HQ"
10,5,1,1,1,1,1
11,5,1,1,1,1,1
12,5,1,1,1,1,1
13,5,1,1,1,1,1
14,5,1,1,1,1,1
15,5,1,1,1,1,1
16,5,1,1,1,1,1
17,5,1,1,1,1,1
18,5,2,2,2,1,2
19,5,2,2,2,1,1
20,5,2,2,1,1,1
21,5,2,2,2,1,1
22,5,2,2,2,1,1
23,5,2,2,2,1,1
24,5,2,2,2,1,1
25,5,2,2,2,2,2
26,5,2,2,2,1,1
27,5,2,2,2,1,2
28,5,2,2,2,2,2
29,5,4,4,2,2,2
30,5,2,2,2,2,2
31,5,2,2,2,2,2
32,5,2,2,2,2,2
33,5,2,2,2,2,2
34,5,2,2,2,2,2
35,5,4,4,4,2,2
10,6,1,1,1,1,1
11,6,1,1,1,1,1
12,6,1,1,1,1,1
13,6,1,1,1,1,1
14,6,1,1,1,1,1
15,6,1,1,1,1,1
16,6,1,1,1,1,1
17,6,1,1,1,1,1
18,6,2,2,2,1,1
19,6,1,1,1,1,1
20,6,1,1,1,1,1
21,6,1,1,1,1,1
22,6,1,1,1,1,1
23,6,1,1,1,1,1
24,6,1,1,1,1,1
25,6,2,2,2,1,2
26,6,2,2,2,1,1
27,6,2,2,2,1,1
28,6,2,2,2,1,2
29,6,2,2,2,2,2
30,6,2,2,2,2,2
31,6,2,2,2,2,2
32,6,2,2,2,1,2
33,6,2,2,2,1,2
34,6,2,2,2,1,2
35,6,2,2,2,1,2
10,7,1,1,1,1,1
11,7,1,1,1,1,1
12,7,1,1,1,1,1
13,7,1,1,1,1,1
14,7,1,1,1,1,1
15,7,1,1,1,1,1
16,7,1,1,1,1,1
17,7,1,1,1,1,1
18,7,2,2,2,1,1
19,7,1,1,1,1,1
20,7,1,1,1,1,1
21,7,1,1,1,1,1
22,7,1,1,1,1,1
23,7,1,1,1,1,1
24,7,1,1,1,1,1
25,7,2,2,2,1,2
26,7,2,2,2,1,1
27,7,1,1,1,1,1
28,7,2,2,2,1,2
29,7,2,2,2,2,2
30,7,2,2,2,1,2
31,7,2,2,2,1,2
32,7,2,2,2,1,2
33,7,2,2,2,1,2
34,7,2,2,2,1,2
35,7,2,2,2,1,2
10,8,1,1,1,1,1
11,8,1,1,1,1,1
12,8,1,1,1,1,1
13,8,1,1,1,1,1
14,8,1,1,1,1,1
15,8,1,1,1,1,1
16,8,1,1,1,1,1
17,8,1,1,1,1,1
18,8,1,1,1,1,1
19,8,1,1,1,1,1
20,8,1,1,1,1,1
21,8,1,1,1,1,1
22,8,1,1,1,1,1
23,8,1,1,1,1,1
24,8,1,1,1,1,1
25,8,2,2,2,1,1
26,8,1,1,1,1,1
27,8,1,1,1,1,1
28,8,2,2,2,1,1
29,8,2,2,2,1,2
30,8,2,2,2,1,2
31,8,2,2,2,1,2
32,8,2,2,2,1,2
33,8,2,2,2,1,1
34,8,2,2,2,1,2
35,8,2,2,2,1,2
10,9,1,1,1,1,1
11,9,1,1,1,1,1
12,9,1,1,1,1,1
13,9,1,1,1,1,1
14,9,1,1,1,1,1
15,9,1,1,1,1,1
16,9,1,1,1,1,1
17,9,1,1,1,1,1
18,9,1,1,1,1,1
19,9,1,1,1,1,1
20,9,1,1,1,1,1
21,9,1,1,1,1,1
22,9,1,1,1,1,1
23,9,1,1,1,1,1
24,9,1,1,1,1,1
25,9,2,2,2,1,1
26,9,2,2,1,1,1
27,9,1,1,1,1,1
28,9,2,2,2,1,1
29,9,2,2,2,1,2
30,9,2,2,2,1,1
31,9,2,2,2,1,2
32,9,2,2,2,1,2
33,9,2,2,2,1,1
34,9,2,2,2,1,2
35,9,2,2,2,1,2
10,10,1,1,1,1,1
11,10,1,1,1,1,1
12,10,1,1,1,1,1
13,10,1,1,1,1,1
14,10,1,1,1,1,1
15,10,1,1,1,1,1
16,10,1,1,1,1,1
17,10,1,1,1,1,1
18,10,1,1,1,1,1
19,10,1,1,1,1,1
20,10,1,1,1,1,1
21,10,1,1,1,1,1
22,10,1,1,1,1,1
23,10,1,1,1,1,1
24,10,1,1,1,1,1
25,10,2,2,2,1,1
26,10,2,2,2,1,1
27,10,1,1,1,1,1
28,10,2,2,2,1,1
29,10,2,2,2,1,2
30,10,2,2,2,1,1
31,10,2,2,2,1,2
32,10,2,2,2,1,2
33,10,2,2,2,1,1
34,10,2,2,2,1,1
35,10,2,2,2,1,2
10,11,1,1,1,1,1
11,11,1,1,1,1,1
12,11,1,1,1,1,1
13,11,1,1,1,1,1
14,11,1,1,1,1,1
15,11,1,1,1,1,1
16,11,1,1,1,1,1
17,11,1,1,1,1,1
18,11,1,1,1,1,1
19,11,1,1,1,1,1
20,11,1,1,1,1,1
21,11,1,1,1,1,1
22,11,1,1,1,1,1
23,11,1,1,1,1,1
24,11,1,1,1,1,1
25,11,2,2,2,1,1
26,11,2,2,2,1,1
27,11,1,1,1,1,1
28,11,2,2,2,1,1
29,11,2,2,2,1,2
30,11,2,2,2,1,1
31,11,2,2,2,1,2
32,11,2,2,2,1,2
33,11,2,2,2,1,1
34,11,2,2,2,1,2
35,11,2,2,2,1,2
10,12,1,1,1,1,1
11,12,1,1,1,1,1
12,12,1,1,1,1,1
13,12,1,1,1,1,1
14,12,1,1,1,1,1
15,12,1,1,1,1,1
16,12,1,1,1,1,1
17,12,1,1,1,1,1
18,12,1,1,1,1,1
19,12,1,1,1,1,1
20,12,1,1,1,1,1
21,12,1,1,1,1,1
22,12,1,1,1,1,1
23,12,1,1,1,1,1
24,12,1,1,1,1,1
25,12,2,2,2,1,1
26,12,2,2,2,1,1
27,12,1,1,1,1,1
28,12,2,2,2,1,1
29,12,2,2,2,1,2
30,12,2,2,2,1,1
31,12,2,2,2,1,1
32,12,2,2,2,1,2
33,12,2,2,2,1,1
34,12,2,2,2,1,1
35,12,2,2,2,1,1
10,13,1,1,1,1,1
11,13,1,1,1,1,1
12,13,1,1,1,1,1
13,13,1,1,1,1,1
14,13,1,1,1,1,1
15,13,1,1,1,1,1
16,13,1,1,1,1,1
17,13,1,1,1,1,1
18,13,1,1,1,1,1
19,13,1,1,1,1,1
20,13,1,1,1,1,1
21,13,1,1,1,1,1
22,13,1,1,1,1,1
23,13,1,1,1,1,1
24,13,1,1,1,1,1
25,13,2,2,2,1,1
26,13,2,2,2,1,1
27,13,1,1,1,1,1
28,13,2,2,2,1,1
29,13,2,2,2,1,2
30,13,2,2,2,1,1
31,13,2,2,2,1,1
32,13,2,2,2,1,2
33,13,2,2,2,1,1
34,13,2,2,2,1,1
35,13,2,2,2,1,1
10,14,1,1,1,1,1
11,14,1,1,1,1,1
12,14,1,1,1,1,1
13,14,1,1,1,1,1
14,14,1,1,1,1,1
15,14,1,1,1,1,1
16,14,1,1,1,1,1
17,14,1,1,1,1,1
18,14,1,1,1,1,1
19,14,1,1,1,1,1
20,14,1,1,1,1,1
21,14,1,1,1,1,1
22,14,1,1,1,1,1
23,14,1,1,1,1,1
24,14,1,1,1,1,1
25,14,1,1,1,1,1
26,14,2,2,2,1,1
27,14,1,1,1,1,1
28,14,2,2,2,1,1
29,14,2,2,2,1,2
30,14,2,2,2,1,1
31,14,2,2,2,1,1
32,14,2,2,2,1,1
33,14,2,2,2,1,1
34,14,2,2,2,1,1
35,14,2,2,2,1,1
10,15,1,1,1,1,1
11,15,1,1,1,1,1
12,15,1,1,1,1,1
13,15,1,1,1,1,1
14,15,1,1,1,1,1
15,15,1,1,1,1,1
16,15,1,1,1,1,1
17,15,1,1,1,1,1
18,15,1,1,1,1,1
19,15,1,1,1,1,1
20,15,1,1,1,1,1
21,15,1,1,1,1,1
22,15,1,1,1,1,1
23,15,1,1,1,1,1
24,15,1,1,1,1,1
25,15,1,1,1,1,1
26,15,2,2,1,1,1
27,15,1,1,1,1,1
28,15,2,2,2,1,1
29,15,2,2,2,1,1
30,15,2,2,2,1,1
31,15,2,2,2,1,1
32,15,2,2,2,1,1
33,15,2,2,2,1,1
34,15,2,2,2,1,1
35,15,2,2,2,1,1
